#,id,date_time,open,close,low,high,volume,pair_id
224,10363070,2016-03-11 07:00:00.000000,417.3,421.1,413.98,424.44475104,39582.40035558,83
225,10363071,2016-03-12 07:00:00.000000,421.09999999,410.5,406.57296965,422.06999999,118475.77071643,83
226,10363072,2016-03-13 07:00:00.000000,410.64106349,410.79,403,416.58836052,67860.07352421,83
227,10363073,2016-03-14 07:00:00.000000,403.88641349,411.95000001,385,420,174393.54265204,83
228,10363074,2016-03-15 07:00:00.000000,413.16000001,413.49000459,408.05,419.98956999,32758.04558617,83
229,10363075,2016-03-16 07:00:00.000000,413.49000459,418.1,409.48402084,419.9,39999.95745837,83
230,10363076,2016-03-17 07:00:00.000000,418.1,418.30999999,414.5,428.85247103,74062.69656392,83
231,10363077,2016-03-18 07:00:00.000000,418.30999999,404.91999981,395.00010001,421,149460.46486619,83
232,10363078,2016-03-19 07:00:00.000000,401.02100001,404.25730345,400,416.795,68209.42580957,83
233,10363079,2016-03-20 07:00:00.000000,409.22999976,409.98,404.26,415.71129614,39316.06686728,83
234,10363080,2016-03-21 07:00:00.000000,409.00000001,404.36491835,402.92,412.98,65750.7879139,83
235,10363081,2016-03-22 07:00:00.000000,406.56757875,414.99458,403.96155785,418.59410249,47490.18751185,83
236,10363082,2016-03-23 07:00:00.000000,414.99958,416.6,413.67326001,423,32499.02786897,83
237,10363083,2016-03-24 07:00:00.000000,416.6,418.8,414,423.81442871,57163.65425816,83
238,10363084,2016-03-25 07:00:00.000000,418.00000001,416.71542144,413.50108799,418.88,9248.62912324,83
239,10363085,2016-03-26 07:00:00.000000,415.47795858,418.32335169,413.93,420.59117429,23467.42120272,83
240,10363086,2016-03-27 07:00:00.000000,415.271,424.0852,415,428.99999996,50868.76451029,83
241,10363087,2016-03-28 07:00:00.000000,424.1252,425.39092016,420,428.75209124,48232.4741829,83
242,10363088,2016-03-29 07:00:00.000000,421.1000001,416.965,410,428.5,74052.5605586,83
243,10363089,2016-03-30 07:00:00.000000,416.965,414.3,410,420.499,106608.59953261,83
244,10363090,2016-03-31 07:00:00.000000,416.7734024,417,414.30000001,420.42259642,16043.0095792,83
245,10363091,2016-04-01 07:00:00.000000,416.0000001,418.2,416.0000001,420.04,12339.2326862,83
246,10363092,2016-04-02 07:00:00.000000,418.59,421.56301498,418.00000001,424,68343.11854222,83
247,10363093,2016-04-03 07:00:00.000000,419.91910001,423.99899758,419.91910001,424.5,65653.62855696,83
248,10363094,2016-04-04 07:00:00.000000,421.90816998,420.50000777,420.2,423.999,26764.47646093,83
249,10363095,2016-04-05 07:00:00.000000,422.80000782,424.15999996,420.20000007,425.887,32694.42101929,83
250,10363096,2016-04-06 07:00:00.000000,424.15999995,422.49957852,420.55,425.938118,35692.79788744,83
251,10363097,2016-04-07 07:00:00.000000,422.92250103,423.99999994,420.083,424.7050012,19851.51911763,83
252,10363098,2016-04-08 07:00:00.000000,421.96837823,419.00010005,418,426.5,54145.06645227,83
253,10363099,2016-04-09 07:00:00.000000,419.001,420.5,414.140001,426.7,55845.45172203,83
254,10363100,2016-04-10 07:00:00.000000,417.62721002,419.71930424,415.1500001,425,90353.82208384,83
255,10363101,2016-04-11 07:00:00.000000,419.71930424,422.75262835,419,424.77,16320.47263178,83
256,10363102,2016-04-12 07:00:00.000000,423.17538097,424.89,422.4,429.98,69844.33423397,83
257,10363103,2016-04-13 07:00:00.000000,426.5,425,423.24,427.5,29207.16247342,83
258,10363104,2016-04-14 07:00:00.000000,424.56576567,427.17996899,423.511,428.999,35223.39463007,83
259,10363105,2016-04-15 07:00:00.000000,427.1799692,430.61709605,424.81799693,437.30488611,28984.00151681,83
